Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA-3N-A9WB	0	0.0370793210695362	0	0	0.220873947850788	0.157875139861129	0	0.0837186169359994	0.114823629150501	0	0.179449511213494	0.0295896351033339	0	0.479908503549312	0	0.804741101510886	0	0	0.158286591914696	0	0	0	0.53	0.0229125483086317	1.10328620021322	2.26634599815967
TCGA-3N-A9WC	0.092316097917942	0	0.166089751858839	1.16320625869202	0	0.720760961675801	0.0770422276313847	0.33990938052259	0.154317670715339	0.0689922803607409	0	0.382815582330652	0.0334222746575244	0.0930796754220244	0.718327296653283	0.326324340103982	0.050574794926384	0	0	0.0749651241352368	0	0.00984002815602454	0	0.302066981408285	0.985965661609358	4.47198374575977
TCGA-3N-A9WD	0.0770406018985406	0.128132146212723	0	0.320142027401335	0	0	0	0.175209371910415	0.150575860466728	0	0	0.186872401290533	0	0.528614613775858	0.221007397842165	0.105702889439796	0.0107355844705917	0	0.0495381986242351	0	0	0	0	0.304119110398044	0.971274060193082	1.95357109333292
TCGA-BF-AAP0	0.152791197210612	0.279266875707337	0	1.24752375158703	0	0	0	0.337885601184143	0.400857143840598	0	0	0.758760736112278	0.012345124689795	0.15803910638362	0.47559943585288	0.566331553764324	0.075655331607979	0	0.251357596221777	0	0	0	0	0.415281782376653	0.916309410862454	4.71641345416237
TCGA-D3-A1Q1	0	0.0140071863932625	0.00904639694580552	0.176309102876253	0	0	0	0.0465301744453932	0.0292708253633827	0	0.019375745718032	0	0.129226221505981	0.201208223902978	0.0157407129241801	0.343833518302434	0	0	0.130460161712426	0	0	0	0.18	0.0827775518847629	1.06720595617794	1.11500827009013
TCGA-D3-A1Q3	0.300799096182352	0.060384309179113	0	0.744334273384887	0	0.574618958958658	0	0.187365910017717	0.168079829920561	0.0321932080938712	0	0.140108473029081	0.0509038124073329	0.168145045720987	0.310564661689889	0.540876729527746	0	0	0.164619683675496	0	0	0	0.05	0.144376089050582	1.04035061238092	3.44299399178769
TCGA-D3-A1Q4	0.011267695264345	0.0759646889677253	0.131795698912019	0.0840937441795514	0	0.0375931418732283	0	0.114936558477938	0.0920279770077915	0	0.0374889409013365	0	0.0164570604011036	0.633954598135176	0.133646101485777	0.639758343329547	0	0	0.140302988603538	0	0	0	0	0.663444519649675	0.764295665164549	2.14928753753908
TCGA-D3-A1Q5	0.362483966034083	0	0.180458946469246	0.63650301897594	0	0	0	0.0464177844181973	0.205033379402574	0	0.10786611686444	0.096798980763607	0	0.838253997599374	0.0617816459621738	0.302816097750245	0	0	0.0619261652950685	0	0	0	0.12	0.10147432169487	1.05986069942393	2.90034009953495
TCGA-D3-A1Q6	0.0433566014138918	0	0.000291379237404359	0.154840594508507	0	0.438119739395938	0.0315582113097928	0.115282036469365	0	0	0	0.00640109454706747	0.06946212262939	0.125727947889694	0.0539682646817071	0.494004313235801	0	0.0795739477445207	0	0.116888054834001	0	0.102005088368893	0.18	0.0859552700526841	1.0568223076226	1.83147939626597
TCGA-D3-A1Q7	0.125325314909692	0	0.430959813650897	1.67248906685463	0	0.00977814282819177	0.333671485497531	0.305715333158003	0.154389233577525	0.10364530568539	0	0.387051456788946	0.126045070397629	0.790696465283099	0.842512737860376	1.24921975896137	0	0	0.0603429504682504	0	0	0	0	0.507185076508897	0.861683179880097	6.59184213592153
TCGA-D3-A1Q8	0.0219702126130449	0.109158717491859	0.0926556145062741	0.178849458665327	0	0.321344826866994	0.00849813615567309	0.0531899397170937	0.0155395677710399	0	0.0207064040196099	0	0.151053252436245	0	0.0589181519838221	1.27181543442042	0.00189946572933116	0	0.257003578642694	0	0	0.00233939553442197	0	0.265661181521677	0.98253028205662	2.56494215655385
TCGA-D3-A1Q9	0	0.0406826657636467	0.20138593904727	0.360662465085952	0	0.57972249532843	0.0257330317646259	0.224721166089054	0.0216146732876136	0	0	0.174970548254264	0	0.864411896035461	0.158004004021631	0.805042276417458	0	0	0.056786473939739	0	0	0	0.08	0.122443202231967	1.05231832842104	3.51373763503515
TCGA-D3-A1QA	0.11950683373167	0	0.0449643101343956	0.568706102144616	0	0	0	0.324508935370702	0.0240602236315195	0	0	0.228224211285433	0.078955194288672	0.00207451819853099	0.279022539903557	1.14896462456303	0	0	0.00625775949140542	0	0	0	0.6	0.0129591353948394	1.10501585465393	2.82524525274353
TCGA-D3-A1QB	0.0418546572997947	0	0.15792244091076	2.19680795454111	0	0	0.103409830364538	0.566725279784001	0.0835358221614688	0.0578906853268313	0	0.512461488536488	0.0428730935211176	0	0.372267068250781	0.509526144413434	0.0500407413335619	0	0	0.126811543427625	0	0	0	0.413947172879535	0.9258172677669	4.82212674987151
TCGA-D3-A2J6	0	0.0653903755958979	0.0796457744825372	0.894989072709706	0	0	0.330757052195697	0.165846418255373	0	0.216469427894714	0	0.410000567753781	0	0.155250564529984	0.05359462631253	0.19174238550814	0.0188149680464571	0	0	0.106391966702072	0	0	0.26	0.0681539837987104	1.12765230995622	2.68889319998689
TCGA-D3-A2J7	0.0102125684091658	0.0216548500323489	0.255816307039943	0.87625267481201	0	0.161788177209465	0.0244472158717108	0.21840659985382	0.215317372918897	0	0	0.166023298645055	0.0785691351897624	1.13463913944315	0.372850852287696	0.568271815273182	0	0	0.0574119327359465	0	0	0	0.05	0.135140143520225	1.04879958160186	4.16166193972216
TCGA-D3-A2J8	0.14208642865401	0	0.123315056988713	1.17932273038579	0	0	0.205205376693798	0.244484150186065	0.0939591244118077	0	0	0.345744028486074	0	0.255898068695769	0.896454658975174	0.950588209739414	0	0	0	0.0604503302074141	0	0	0	0.64194652154233	0.773442696620201	4.49750816342403
TCGA-D3-A2J9	0.148694974728818	0.101121698522576	0	2.41458207599951	0	0	0	0.89667046604153	0.212018946989598	0.847547434709324	0	0.529163933395676	0	0.755935671064956	0.930653946786741	1.09051067110693	0	0	0	0.0062068307422675	0	0	0	0.562257962748162	0.826692947275103	7.93310665008793
TCGA-D3-A2JA	0	0.385037235814605	0	0.365135213258009	0	0.40337740812059	0.0796509060798078	0.188912282436822	0.0585681140890874	0.0367451381139144	0	0.0444332439767161	0	1.35311514797745	0.368170498125796	3.21149536598754	0	0	0	0.0132953670774368	0	0	0	0.634937401789744	0.775673927758751	6.50793592105778
TCGA-D3-A2JB	0.369650616071452	0.98378922928919	0.361924345014899	0.649538545137982	0	0.591761805229078	0	0.686113437448324	0.0151148938769407	0.0811011332284828	0	0.252892954203683	0	0.394338309686545	0.351616588409924	0.443635350124369	0	0	0.0618487818996488	0	0	0	0	0.511925955207743	0.86121401951558	5.24332598962052
TCGA-D3-A2JC	0	0.196398814655231	0	0.733449654253183	0	0.180915510465732	0.0130876305153937	0.232724566806758	0.0977046011093531	0.0229019109375117	0	0.30655051393608	0.0667096012946577	0.585782637214573	0.31593865151174	0.591451476505044	0.00870693670949903	0	0	0	0.0464612432951147	0	0	0.243274136987507	0.999684574634976	3.39878374920987
TCGA-D3-A2JD	0.468219872827932	0.502239941243319	0.177395959266431	0.531271885393955	0.168533350137893	0.27100040219731	0	0.0637175961179053	0.638015268648488	0	0.013548773421604	0.153460541262959	0.111761899601152	0.270473669423153	0.0198277432304698	0.367726996771823	0	0	0.017111832569759	0	0	0	0.01	0.201506494230364	1.01148544362671	3.77430573211415
TCGA-D3-A2JE	0.174721452960057	0	0.116672650762847	0.0510120606091851	0	0.121629278396619	0	0.191575312074466	0.0534488403586237	0	0	0.0883918372691972	0.0129907017727042	0.184713013508024	0.0703773234842382	0.137612276937127	0	0	0	0.0112597091638991	0	0	0.29	0.0559604589095281	1.06264726481752	1.21440445729699
