Name	Cell Specificity
3'HEXO	Multiple
3'HEXO	Lymphoid
a1/3GTP	Dendritic Cell
A2MP	Multiple
ABCC1 	Myeloid
ABHD2	Myeloid
ABL2 	Myeloid
ABTB1	Neutrophil
ABTB1	Neutrophil
ABTB2	Dendritic Cell
ACAT2	Multiple
ACP5	Myeloid
ACTR2	Multiple
ACTR2	Multiple
ACTR2	Multiple
ACTR3 	Multiple
AD023	Multiple
AD158	Multiple
ADAM12	Dendritic Cell
ADAM19	Multiple
ADAM8	Multiple
ADCY7	Multiple
ADORA2A	Myeloid
AFURS1	Monocyte
AFURS1	Monocyte
AFURS1 	Monocyte
AGPS	Multiple
AIF1	Myeloid
AIF1	Myeloid
AIF1	Myeloid
AIM2	Lymphoid
AKAP13	Multiple
AKNA	Multiple
ALG2	Multiple
ALG5	B Cell
ALOX15	Dendritic Cell
ALOX5	Multiple
AMICA	Myeloid
AMID	Myeloid
AMPD1	B Cell
AMPD2	Neutrophil
AMPD3	Myeloid
ANKRD13 	Multiple
Annexin II 	Lymphoid
ANP32A	Multiple
ANP32E	Lymphoid
ANP32E	Lymphoid
AP1	B Cell
AP1GBP1	Lymphoid
AP1GBP1	Multiple
AP1S2	Monocyte
AP2S1	Myeloid
APBB1IP	Multiple
APG7L	Myeloid
APOBEC3A	Myeloid
APOBEC3A	Lymphoid
APOBEC3G	Multiple
ARF6	Multiple
ARH	T Cell
ARH	T Cell
ARHG	Myeloid
ARHGAP15	Multiple
ARHGAP18	Myeloid
ARHGAP25 	Multiple
ARHGAP25 	Multiple
ARHGAP9	Multiple
ARHGAP9	Multiple
ARHGAP9	Multiple
ARHH	Multiple
ARL2	Multiple
ARL7	Lymphoid
ARL7	Lymphoid
ARL7	Lymphoid
ARNTL2	Multiple
ARPC5	Multiple
ARPC5L	Lymphoid
ARPC5L	Lymphoid
ARRB2 	Multiple
ASF1B	Multiple
ASPM	T Cell
ASXL1	Lymphoid
ATM	Lymphoid
ATM	Lymphoid
ATM	Lymphoid
ATP2B1	Myeloid
ATP6V1A	Myeloid
ATP6V1C1	Myeloid
AXOT	Multiple
B4GALT3 	B Cell
BACH1	Multiple
BACH2	Lymphoid
BACH2	Lymphoid
BACH2 	Lymphoid
BACH2 	Lymphoid
BAFFR	B Cell
BAL	Multiple
BANK1	B Cell
BANK1	B Cell
BANP	Myeloid
BANP	Myeloid
BANP	Myeloid
BAT4	Multiple
BATF	Lymphoid
BAZ1A	Multiple
BCL11A	Multiple
BCL11A	B Cell
BCL11B	Lymphoid
BCL11B	T Cell
BCL11B	Lymphoid
BCL2 	Multiple
BCL2A1	Myeloid
BCL2L11 	Multiple
BCL6	Myeloid
BCL6 	Multiple
BCL6 	Myeloid
BCMA	B Cell
BCNP1	B Cell
BHLHB2	Lymphoid
BHLHB3	Monocyte
BIC	Multiple
BID	Myeloid
BID	Myeloid
BID	Myeloid
BIN2	Multiple
BIRC1	Myeloid
BIRC3	Multiple
BIRC3	Multiple
BLK	B Cell
BLNK	B Cell
BLP1	Myeloid
BLVRA	Myeloid
BM-009	Multiple
BMP8B 	B Cell
BRAG 	Multiple
BRD2	Multiple
BRDG1	B Cell
BRIP1 	Multiple
BTLA	Lymphoid
BTN3A2	Multiple
