Symbol	Population
CHRM3-AS2	T cells
THEMIS	T cells
THEMIS	T cells
CD6	T cells
MAL	T cells
CD5	T cells
CD28	T cells
CD3G	T cells
ICOS	T cells
FLT3LG	T cells
TNFRSF25	T cells
TNFRSF25	T cells
TNFRSF25	T cells
CD28	T cells
CD3D	T cells
CD6	T cells
AV8S2 /// TRAV13-2 /// TRAV13-2	T cells
TRAT1	T cells
TNFRSF25	T cells
SIRPG	T cells
CD5	T cells
PBX4	T cells
CTLA4	T cells
MGC40069	T cells
CD8B /// LOC100996919	CD8 T cells
CD8B /// LOC100996919	CD8 T cells
CD8B /// LOC100996919	CD8 T cells
CD8B /// LOC100996919	CD8 T cells
KLRC4-KLRK1 /// KLRK1	Cytotoxic lymphocytes
KLRC4-KLRK1 /// KLRK1	Cytotoxic lymphocytes
CD8A	Cytotoxic lymphocytes
KLRC4-KLRK1 /// KLRK1	Cytotoxic lymphocytes
KLRC4-KLRK1 /// KLRK1	Cytotoxic lymphocytes
KLRC1 /// KLRC2	Cytotoxic lymphocytes
KLRC1 /// KLRC2	Cytotoxic lymphocytes
KLRC3	Cytotoxic lymphocytes
KLRD1	Cytotoxic lymphocytes
KLRD1	Cytotoxic lymphocytes
KLRD1	Cytotoxic lymphocytes
KLRC4	Cytotoxic lymphocytes
FGFBP2	Cytotoxic lymphocytes
EOMES	Cytotoxic lymphocytes
GNLY	Cytotoxic lymphocytes
FCRL3	B lineage
STAP1	B lineage
SNX29P1 /// SNX29P2	B lineage
SNX29P1 /// SNX29P2	B lineage
SNX29P1 /// SNX29P2	B lineage
CD79A	B lineage
CLLU1 /// LOC100507616	B lineage
CLLU1 /// LOC100507616	B lineage
BANK1	B lineage
LOC100129447	B lineage
FCRL2	B lineage
NA	B lineage
NA	B lineage
ABCB4	B lineage
CD22	B lineage
CD79A	B lineage
CD79B	B lineage
CR2	B lineage
CD19	B lineage
ABCB4	B lineage
MS4A1	B lineage
IGHV5-78	B lineage
IGHM	B lineage
IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31	B lineage
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31	B lineage
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31	B lineage
IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31	B lineage
IGK /// IGKC	B lineage
IGK /// IGKC	B lineage
IGKV1-17 /// IGKV1-17	B lineage
IGH /// IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	B lineage
IGLJ3	B lineage
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31	B lineage
IGLJ3	B lineage
IGK	B lineage
IGHD	B lineage
IGKC /// IGKV2-28 /// IGKV2-28 /// IGKV2D-28 /// IGKV2D-28	B lineage
IGKC /// IGKV2-28 /// IGKV2-28 /// IGKV2D-28 /// IGKV2D-28	B lineage
abParts /// IGKC /// IGKV4-1 /// IGKV4-1	B lineage
IGHA1 /// IGHA2 /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	B lineage
IGHD	B lineage
AL928768.3 /// Ig alpha 1-[alpha]2m /// IGH	B lineage
IGK /// IGKC	B lineage
IGLC1 /// IGLV3-25 /// IGLV3-25	B lineage
LOC101929272	B lineage
IGHD	B lineage
IGLV4-60 /// IGLV4-60	B lineage
IGKC	B lineage
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37	B lineage
IGHM	B lineage
IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// IGHV4-31	B lineage
IGKC	B lineage
IGHG1 /// IGHM	B lineage
IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31	B lineage
IGLC1 /// IGLV3-10 /// IGLV3-10	B lineage
IGK /// IGKC	B lineage
IGLJ3 /// IGLV3-19 /// IGLV3-19	B lineage
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-44 /// IGLV2-14 /// IGLV@	B lineage
IGLC1 /// IGLJ3 /// IGLV2-14 /// IGLV@	B lineage
IGK /// IGKC	B lineage
NA	B lineage
IGLV1-44	B lineage
IGLL5	B lineage
IGLV1-44	B lineage
IGH /// IGHA1 /// IGHA2 /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC102725526	B lineage
IGKV1OR2-108 /// IGKV1OR2-108	B lineage
MS4A1	B lineage
CD22	B lineage
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2	B lineage
BANK1	B lineage
STAP1	B lineage
VPREB3	B lineage
CD22	B lineage
FCRL2	B lineage
PAX5	B lineage
IGHD	B lineage
BANK1	B lineage
FCRL2	B lineage
BMS1P20	B lineage
FCRL5	B lineage
FCRL5	B lineage
CPNE5	B lineage
RALGPS2	B lineage
DTX1	B lineage
RALGPS2	B lineage
EBF1	B lineage
KLHL14	B lineage
IGHG1 /// IGHM /// LOC102725426 /// MIR8071-1 /// MIR8071-2	B lineage
MS4A1	B lineage
MS4A1	B lineage
NA	B lineage
EBF1	B lineage
CKAP2	B lineage
LINC00926	B lineage
SNX22	B lineage
LINC00926	B lineage
IGHD	B lineage
FCRL3	B lineage
NA	B lineage
NA	B lineage
FCRL5	B lineage
EBF1	B lineage
IGLC1 /// IGLV9-49 /// IGLV9-49	B lineage
NA	B lineage
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV3-1 /// IGLV3-1 /// IGLV@	B lineage
