"ID"	"Carcinoma Ecotype"
"TCGA.D3.A1Q4"	"CE1"
"TCGA.D3.A1Q8"	"CE1"
"TCGA.D3.A2J7"	"CE1"
"TCGA.D3.A2JA"	"CE1"
"TCGA.D3.A2JN"	"CE1"
"TCGA.D3.A3BZ"	"CE1"
"TCGA.D3.A3MU"	"CE1"
"TCGA.D3.A5GN"	"CE1"
"TCGA.D3.A5GO"	"CE1"
"TCGA.D3.A8GE"	"CE1"
"TCGA.DA.A1HY"	"CE1"
"TCGA.DA.A1I1"	"CE1"
"TCGA.EE.A17Y"	"CE1"
"TCGA.EE.A20B"	"CE1"
"TCGA.EE.A20I"	"CE1"
"TCGA.EE.A29A"	"CE1"
"TCGA.EE.A29S"	"CE1"
"TCGA.EE.A29W"	"CE1"
"TCGA.EE.A2A0"	"CE1"
"TCGA.EE.A2GD"	"CE1"
"TCGA.EE.A2GE"	"CE1"
"TCGA.EE.A2GN"	"CE1"
"TCGA.EE.A2GO"	"CE1"
"TCGA.EE.A2GP"	"CE1"
"TCGA.EE.A2MC"	"CE1"
"TCGA.EE.A2MI"	"CE1"
"TCGA.EE.A2MQ"	"CE1"
"TCGA.EE.A3J3"	"CE1"
"TCGA.EE.A3JB"	"CE1"
"TCGA.ER.A195"	"CE1"
"TCGA.ER.A19A"	"CE1"
"TCGA.ER.A19C"	"CE1"
"TCGA.ER.A19D"	"CE1"
"TCGA.ER.A19J"	"CE1"
"TCGA.ER.A19T"	"CE1"
"TCGA.ER.A2NC"	"CE1"
"TCGA.ER.A3ET"	"CE1"
"TCGA.ER.A3PL"	"CE1"
"TCGA.ER.A42K"	"CE1"
"TCGA.FR.A7U9"	"CE1"
"TCGA.FS.A1YX"	"CE1"
"TCGA.FS.A1YY"	"CE1"
"TCGA.FS.A1ZD"	"CE1"
"TCGA.FS.A1ZH"	"CE1"
"TCGA.FS.A1ZM"	"CE1"
"TCGA.FS.A1ZS"	"CE1"
"TCGA.FW.A3R5"	"CE1"
"TCGA.GF.A3OT"	"CE1"
"TCGA.GN.A264"	"CE1"
"TCGA.GN.A265"	"CE1"
"TCGA.GN.A266"	"CE1"
"TCGA.GN.A26A"	"CE1"
"TCGA.HR.A2OG"	"CE1"
"TCGA.WE.A8K5"	"CE1"
"TCGA.WE.AA9Y"	"CE1"
"TCGA.D3.A1Q6"	"CE2"
"TCGA.DA.A3F5"	"CE2"
"TCGA.EB.A5UN"	"CE2"
"TCGA.EE.A2M5"	"CE2"
"TCGA.EE.A2MT"	"CE2"
"TCGA.EE.A3AG"	"CE2"
"TCGA.D3.A3C7"	"CE3"
"TCGA.DA.A1I5"	"CE3"
"TCGA.EE.A3AB"	"CE3"
"TCGA.EE.A3AF"	"CE3"
"TCGA.ER.A19Q"	"CE3"
"TCGA.D3.A8GL"	"CE4"
"TCGA.DA.A1I7"	"CE4"
"TCGA.FS.A4F2"	"CE4"
"TCGA.D3.A1Q5"	"CE5"
"TCGA.D3.A8GQ"	"CE5"
"TCGA.D9.A4Z6"	"CE5"
"TCGA.EE.A2MS"	"CE5"
"TCGA.ER.A19B"	"CE5"
"TCGA.ER.A3EV"	"CE5"
"TCGA.FS.A1ZK"	"CE5"
"TCGA.QB.AA9O"	"CE5"
"TCGA.W3.A825"	"CE5"
"TCGA.D3.A2JP"	"CE6"
"TCGA.D3.A3CE"	"CE6"
"TCGA.D3.A5GU"	"CE6"
"TCGA.EE.A29C"	"CE6"
"TCGA.EE.A2A1"	"CE6"
"TCGA.EE.A2A5"	"CE6"
"TCGA.EE.A2GS"	"CE6"
"TCGA.EE.A2M7"	"CE6"
"TCGA.EE.A3AH"	"CE6"
"TCGA.ER.A193"	"CE6"
"TCGA.ER.A19H"	"CE6"
"TCGA.ER.A19L"	"CE6"
"TCGA.ER.A42L"	"CE6"
"TCGA.FR.A69P"	"CE6"
"TCGA.FS.A1Z7"	"CE6"
"TCGA.FS.A1ZP"	"CE6"
"TCGA.FS.A1ZR"	"CE6"
"TCGA.LH.A9QB"	"CE6"
"TCGA.RP.A694"	"CE6"
"TCGA.W3.A828"	"CE6"
"TCGA.WE.AAA3"	"CE6"
"TCGA.D3.A1QA"	"CE7"
"TCGA.D3.A51T"	"CE7"
"TCGA.D3.A8GC"	"CE7"
"TCGA.D3.A8GM"	"CE7"
"TCGA.D9.A1X3"	"CE7"
"TCGA.DA.A95X"	"CE7"
"TCGA.EE.A2GB"	"CE7"
"TCGA.EE.A2MD"	"CE7"
"TCGA.EE.A2MF"	"CE7"
"TCGA.EE.A2ML"	"CE7"
"TCGA.EE.A3JA"	"CE7"
"TCGA.EE.A3JI"	"CE7"
"TCGA.ER.A2NE"	"CE7"
"TCGA.FR.A3YN"	"CE7"
"TCGA.FS.A1YW"	"CE7"
