type	alive_0	dead_1	total	event_percentage
GBM	52	106	158	67.09
MESO	28	57	85	67.06
LAML	57	94	151	62.25
UCS	24	32	56	57.14
OV	132	170	302	56.29
CHOL	19	16	35	45.71
ESCA	104	57	161	35.4
SKCM	286	153	439	34.85
PAAD	115	59	174	33.91
HNSC	347	167	514	32.49
LUSC	320	154	474	32.49
ACC	54	25	79	31.65
KIRC	364	160	524	30.53
GBMLGG	467	198	665	29.77
SARC	180	75	255	29.41
BLCA	287	107	394	27.16
LIHC	248	89	337	26.41
LUAD	356	121	477	25.37
STES	399	133	532	25
KIPAN	658	200	858	23.31
CESC	226	60	286	20.98
STAD	295	76	371	20.49
LGG	415	92	507	18.15
UVM	67	13	80	16.25
COAD	294	52	346	15.03
COADREAD	410	61	471	12.95
KICH	56	8	64	12.5
KIRP	238	32	270	11.85
DLBC	40	5	45	11.11
BRCA	936	104	1040	10
UCEC	495	45	540	8.33
READ	116	9	125	7.2
THYM	112	6	118	5.08
PCPG	173	6	179	3.35
THCA	482	14	496	2.82
PRAD	489	8	497	1.61
